season,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,league_name,league_id,team_name,team_id,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,Xg,Xga,Sota,Saves,Save%,Psxg,Psxg+/-,Cmp,Att,Cmp%,Totdist,Prgdist,Ast,Xag,Xa,Crspa,Prgp,Kp,Pass_3rd,Sw,Crs,Tb,Ck,Sca,Gca,Tkl,Tklw,Tkl_def_3rd,Tkl_att_3rd,Blocks,Int,Clr,Err,Touches_att_3rd,Prgc,Carries_att_3rd,Mis,Dis,Fls,Off,Recov,Won%,xG,xGA,SoTA,PSxG,PSxG+/-,TotDist,PrgDist,xAG,xA,CrsPA,PrgP,KP,pass_3rd,TB,CK,SCA,GCA,TklW,Tkl_Def_3rd,Tkl_Att_3rd,Touches_Att_3rd,PrgC,Carries_Att_3rd,Opp Formation
2014,2014-11-09,19:30,Série A,Matchweek 33,Sun,Home,W,3,1,Criciúma,,28475.0,,4-2-3-1,Marcos Andre Gomes da Penha,Match Report,,brasileirao,24,cruzeiro,03ff5eeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2014-11-16,17:00,Série A,Matchweek 34,Sun,Away,W,1,0,Santos,,4094.0,,4-2-3-1,Alinor Silva da Paixao,Match Report,,brasileirao,24,cruzeiro,03ff5eeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2014-11-20,21:50,Série A,Matchweek 35,Thu,Away,W,2,1,Grêmio,,40497.0,,4-2-3-1,Vinicius Furlan,Match Report,,brasileirao,24,cruzeiro,03ff5eeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2014-11-23,17:00,Série A,Matchweek 36,Sun,Home,W,2,1,Goiás,,56769.0,,4-2-3-1,Paulo Henrique De Godoy Bezerra,Match Report,,brasileirao,24,cruzeiro,03ff5eeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2014-11-30,17:00,Série A,Matchweek 37,Sun,Away,D,1,1,Chapecoense,,8067.0,,4-3-2-1,Grazianni Maciel Rocha,Match Report,,brasileirao,24,cruzeiro,03ff5eeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2014-12-07,17:00,Série A,Matchweek 38,Sun,Home,W,2,1,Fluminense,,45804.0,,4-2-3-1,Raphael Claus,Match Report,,brasileirao,24,cruzeiro,03ff5eeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2014-04-20,16:00,Série A,Matchweek 1,Sun,Home,W,3,0,Botafogo (RJ),,31564.0,,4-2-3-1,Wilton Sampaio,Match Report,,brasileirao,24,sao_paulo,5f232eb1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2014-04-27,16:00,Série A,Matchweek 2,Sun,Away,D,1,1,Cruzeiro,,17530.0,,4-2-2-2,Wagner do Nascimento Magalhaes,Match Report,,brasileirao,24,sao_paulo,5f232eb1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2014-05-03,18:30,Série A,Matchweek 3,Sat,Home,D,2,2,Coritiba,,31888.0,,4-2-2-2,Claudio Francisco Lima e Silva,Match Report,,brasileirao,24,sao_paulo,5f232eb1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2014-05-11,16:00,Série A,Matchweek 4,Sun,Home,D,1,1,Corinthians,,14000.0,,4-2-3-1,Raphael Claus,Match Report,,brasileirao,24,sao_paulo,5f232eb1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
