Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK,xG_90,xAG_90,xG+xAG,npxG_90,npxG+xAG_90,Matches,season,league_name,league_id,team_name
Maurício Kozlinski,br BRA,GK,33-126,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,brasileirao,24,Fortaleza
Santos,br BRA,GK,34-219,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,brasileirao,24,Fortaleza
Jhonatan Silva,br BRA,DF,25-101,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,brasileirao,24,Fortaleza
Squad Total,,,30.5,30,330,2700.0,30.0,37.0,29.0,66.0,34.0,3.0,4.0,80.0,10.0,34.7,31.4,25.6,57.1,437.0,942.0,931.0,1.23,0.97,2.2,1.13,2.1,1.16,0.85,2.01,1.05,1.9,,2024,brasileirao,24,Fortaleza
Opponent Total,,,28.0,30,330,2700.0,30.0,30.0,21.0,51.0,27.0,3.0,3.0,79.0,4.0,35.7,33.4,25.6,59.0,547.0,1291.0,1279.0,1.0,0.7,1.7,0.9,1.6,1.19,0.85,2.04,1.11,1.97,,2024,brasileirao,24,Fortaleza
Agustín Rossi,ar ARG,GK,29-062,27,27,2430.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024,brasileirao,24,Flamengo
Gerson,br BRA,"MF,FW",27-155,27,22,2008.0,22.3,3.0,4.0,7.0,3.0,0.0,0.0,1.0,0.0,1.8,1.8,2.7,4.5,60.0,144.0,141.0,0.13,0.18,0.31,0.13,0.31,0.08,0.12,0.2,0.08,0.2,Matches,2024,brasileirao,24,Flamengo
Ayrton Lucas,br BRA,DF,27-125,25,22,1827.0,20.3,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,1.2,1.2,1.6,2.8,49.0,78.0,91.0,0.1,0.1,0.2,0.1,0.2,0.06,0.08,0.14,0.06,0.14,Matches,2024,brasileirao,24,Flamengo
Fabrício Bruno,br BRA,DF,28-253,22,21,1851.0,20.6,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.4,0.4,0.2,0.6,6.0,86.0,6.0,0.05,0.0,0.05,0.05,0.05,0.02,0.01,0.03,0.02,0.03,Matches,2024,brasileirao,24,Flamengo
Wesley,br BRA,DF,21-046,24,19,1798.0,20.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.9,0.9,2.2,3.0,45.0,62.0,165.0,0.0,0.1,0.1,0.0,0.1,0.04,0.11,0.15,0.04,0.15,Matches,2024,brasileirao,24,Flamengo
Pedro,br BRA,FW,27-124,21,19,1653.0,18.4,11.0,5.0,16.0,7.0,4.0,5.0,3.0,0.0,10.6,6.7,2.2,8.8,16.0,36.0,74.0,0.6,0.27,0.87,0.38,0.65,0.58,0.12,0.7,0.36,0.48,Matches,2024,brasileirao,24,Flamengo
Léo Pereira,br BRA,DF,28-265,23,17,1651.0,18.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.3,0.3,0.8,1.1,15.0,104.0,25.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.06,0.02,0.06,Matches,2024,brasileirao,24,Flamengo
David Luiz,br BRA,DF,37-183,18,17,1399.0,15.5,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.8,0.8,0.3,1.1,26.0,81.0,6.0,0.13,0.0,0.13,0.13,0.13,0.05,0.02,0.07,0.05,0.07,Matches,2024,brasileirao,24,Flamengo
Leo Ortiz,br BRA,"MF,DF",28-293,20,16,1428.0,15.9,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.2,2.2,13.0,109.0,10.0,0.0,0.13,0.13,0.0,0.13,0.06,0.08,0.14,0.06,0.14,Matches,2024,brasileirao,24,Flamengo
Bruno Henrique,br BRA,FW,33-297,21,16,1406.0,15.6,5.0,0.0,5.0,5.0,0.0,0.0,6.0,0.0,4.1,4.1,0.8,4.9,54.0,32.0,114.0,0.32,0.0,0.32,0.32,0.32,0.26,0.05,0.31,0.26,0.31,Matches,2024,brasileirao,24,Flamengo
