Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK,Matches,season,league_name,league_id,team_name
Marquinhos,br BRA,"MF,FW",28.0,17,9,824.0,9.2,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.11,0.11,0.22,0.11,0.22,Matches,2018,brasileirao,24,2018 América (MG)
Jori,br BRA,GK,21.0,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018,brasileirao,24,2018 América (MG)
Christian Savio,br BRA,MF,22.0,10,9,748.0,8.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches,2018,brasileirao,24,2018 América (MG)
Matheusinho,br BRA,"MF,FW",19.0,17,8,904.0,10.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,Matches,2018,brasileirao,24,2018 América (MG)
David,br BRA,MF,35.0,9,6,471.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018,brasileirao,24,2018 América (MG)
Ademir Santos,br BRA,MF,22.0,14,5,696.0,7.7,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.13,0.13,0.26,0.13,0.26,Matches,2018,brasileirao,24,2018 América (MG)
Judivan,br BRA,FW,22.0,9,5,414.0,4.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.22,0.0,0.22,Matches,2018,brasileirao,24,2018 América (MG)
Rafael Lima,br BRA,DF,31.0,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018,brasileirao,24,2018 América (MG)
Paulão,br BRA,DF,31.0,5,4,334.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018,brasileirao,24,2018 América (MG)
Robinho,br BRA,MF,23.0,12,3,409.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018,brasileirao,24,2018 América (MG)
Wesley Pacheco,br BRA,FW,27.0,5,1,134.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018,brasileirao,24,2018 América (MG)
Fernando Leal,br BRA,GK,36.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018,brasileirao,24,2018 América (MG)
Ricardo Silva,br BRA,DF,25.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018,brasileirao,24,2018 América (MG)
Lincoln,br BRA,MF,19.0,3,0,77.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018,brasileirao,24,2018 América (MG)
Capixaba,br BRA,"FW,MF",21.0,3,0,50.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018,brasileirao,24,2018 América (MG)
Renan Oliveira,br BRA,"FW,MF",28.0,2,0,48.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018,brasileirao,24,2018 América (MG)
França,br BRA,MF,22.0,2,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018,brasileirao,24,2018 América (MG)
Luis Carlos Pilar,br BRA,FW,20.0,0,0,,,,,,,,,,,,,,,,Matches,2018,brasileirao,24,2018 América (MG)
Felipinho,br BRA,DF,20.0,0,0,,,,,,,,,,,,,,,,Matches,2018,brasileirao,24,2018 América (MG)
