Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,season,league_name,league_id,team_name,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,SoTA,Saves,Save%,PSxG,PSxG+/-,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,CrsPA,PrgP,KP,pass_3rd,Sw,Crs,TB,CK,SCA,GCA,Tkl,TklW,Tkl_Def_3rd,Tkl_Att_3rd,Blocks,Int,Clr,Err,Touches_Att_3rd,PrgC,Carries_Att_3rd,Mis,Dis,Fls,Off,Recov,Won%
2024-08-03,20:00,Série A,Matchweek 21,Sat,Away,W,4,1,Atl Goianiense,3.1,1.2,52.0,,Danilo Barbosa,4-4-2,4-3-3,,Match Report,,2024,brasileirao,24,Botafogo (RJ),11,7,63.6,0.18,0.29,21.0,3,2,100.0,0.9,-0.1,281.0,372.0,75.5,5342.0,1779.0,0,0.5,0.7,1.0,30.0,6.0,17.0,3.0,18,1.0,7.0,23.0,6.0,17.0,10,11.0,2.0,10.0,9,13.0,0.0,86.0,13.0,10.0,11.0,4.0,14,1,41.0,31.3
2024-08-11,11:00,Série A,Matchweek 22,Sun,Away,L,2,3,Juventude,1.8,1.7,63.0,,Danilo Barbosa,4-2-3-1,4-4-2,,Match Report,,2024,brasileirao,24,Botafogo (RJ),24,9,37.5,0.08,0.22,15.3,7,4,57.1,2.5,-0.5,514.0,594.0,86.5,9546.0,3649.0,1,1.1,1.1,3.0,72.0,20.0,63.0,3.0,33,0.0,12.0,43.0,3.0,15.0,11,6.0,4.0,11.0,8,14.0,0.0,212.0,23.0,12.0,21.0,10.0,14,0,50.0,48.1
2024-08-14,21:30,Libertadores,Round of 16,Wed,Home,W,2,1,br Palmeiras,1.7,0.3,51.0,38848.0,Marlon Freitas,4-2-3-1,3-4-3,,Match Report,Leg 1 of 2,2024,brasileirao,24,Botafogo (RJ),10,3,30.0,0.2,0.67,14.7,3,2,66.7,0.3,-0.7,401.0,496.0,80.8,6800.0,2506.0,2,1.6,1.2,1.0,40.0,9.0,26.0,2.0,6,4.0,4.0,17.0,4.0,18.0,12,9.0,1.0,10.0,13,22.0,0.0,109.0,19.0,13.0,19.0,9.0,14,4,45.0,55.3
2024-08-18,18:30,Série A,Matchweek 23,Sun,Home,W,4,1,Flamengo,3.3,0.8,54.0,,Marlon Freitas,4-2-3-1,4-2-3-1,,Match Report,,2024,brasileirao,24,Botafogo (RJ),18,8,44.4,0.22,0.5,17.3,3,2,66.7,0.6,-0.4,441.0,502.0,87.8,8018.0,2839.0,3,2.2,1.4,1.0,51.0,15.0,38.0,4.0,13,3.0,5.0,35.0,7.0,19.0,13,8.0,2.0,14.0,10,14.0,0.0,131.0,20.0,14.0,6.0,17.0,17,3,41.0,61.1
2024-08-21,21:30,Libertadores,Round of 16,Wed,Away,D,2,2,br Palmeiras,1.2,2.7,35.0,40269.0,Marlon Freitas,4-2-3-1,4-2-3-1,,Match Report,Leg 2 of 2; Botafogo (RJ) won,2024,brasileirao,24,Botafogo (RJ),8,2,25.0,0.25,1.0,17.0,6,4,66.7,2.3,0.3,182.0,266.0,68.4,3473.0,1799.0,2,1.2,0.5,1.0,23.0,7.0,21.0,1.0,6,1.0,1.0,14.0,4.0,25.0,16,18.0,3.0,16.0,8,56.0,1.0,98.0,6.0,7.0,22.0,12.0,17,1,35.0,44.1
2024-08-25,16:00,Série A,Matchweek 24,Sun,Away,D,0,0,Bahia,0.8,0.9,47.0,,Tchê Tchê,4-2-3-1,4-1-3-2,,Match Report,,2024,brasileirao,24,Botafogo (RJ),14,5,35.7,0.0,0.0,17.2,7,7,100.0,1.7,1.7,321.0,396.0,81.1,6036.0,2388.0,0,0.6,0.9,1.0,23.0,9.0,24.0,2.0,17,3.0,7.0,25.0,0.0,11.0,6,8.0,1.0,10.0,12,17.0,0.0,111.0,8.0,4.0,16.0,3.0,21,2,30.0,47.6
2024-08-31,21:00,Série A,Matchweek 25,Sat,Home,W,2,0,Fortaleza,1.8,0.4,64.0,,Marlon Freitas,4-2-3-1,4-2-3-1,Flavio Rodrigues de Souza,Match Report,,2024,brasileirao,24,Botafogo (RJ),22,7,31.8,0.09,0.29,19.0,1,1,100.0,0.1,0.1,531.0,625.0,85.0,9607.0,3626.0,2,1.8,1.2,5.0,68.0,18.0,49.0,2.0,30,4.0,9.0,37.0,4.0,14.0,10,9.0,2.0,11.0,8,19.0,1.0,193.0,26.0,15.0,18.0,14.0,13,2,52.0,43.3
2024-09-14,21:00,Série A,Matchweek 26,Sat,Home,W,2,1,Corinthians,2.2,2.0,57.0,,Marlon Freitas,4-2-3-1,3-4-1-2,Anderson Daronco,Match Report,,2024,brasileirao,24,Botafogo (RJ),21,10,47.6,0.1,0.2,17.6,2,0,100.0,1.4,0.4,479.0,565.0,84.8,8921.0,3465.0,1,2.0,2.2,4.0,59.0,17.0,48.0,3.0,18,0.0,6.0,36.0,4.0,20.0,12,13.0,1.0,8.0,8,15.0,0.0,192.0,21.0,7.0,8.0,9.0,12,0,41.0,63.2
2024-09-18,21:30,Libertadores,Quarter-finals,Wed,Home,D,0,0,br São Paulo,1.7,0.7,62.0,,Marlon Freitas,4-2-3-1,3-4-3,Esteban Ostojich,Match Report,Leg 1 of 2,2024,brasileirao,24,Botafogo (RJ),22,6,27.3,0.0,0.0,17.5,1,1,100.0,0.2,0.2,486.0,596.0,81.5,8456.0,2956.0,0,1.6,1.2,1.0,52.0,17.0,38.0,3.0,22,0.0,4.0,42.0,0.0,18.0,14,9.0,1.0,8.0,11,11.0,0.0,165.0,29.0,16.0,9.0,6.0,11,3,58.0,43.8
2024-09-21,18:30,Série A,Matchweek 27,Sat,Away,W,1,0,Fluminense,1.6,0.4,51.0,,Tchê Tchê,4-2-3-1,4-2-3-1,Wilton Sampaio,Match Report,,2024,brasileirao,24,Botafogo (RJ),9,6,66.7,0.11,0.17,14.6,5,5,100.0,1.0,1.0,383.0,467.0,82.0,6892.0,2418.0,1,1.6,1.1,1.0,39.0,9.0,26.0,6.0,12,1.0,4.0,18.0,2.0,22.0,14,11.0,2.0,8.0,7,23.0,0.0,88.0,21.0,7.0,14.0,11.0,17,3,36.0,50.0
