season,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK,Matches,league_name,league_id,team_name,team_id,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,xG_90,xAG_90,xG+xAG,npxG_90,npxG+xAG_90
2014-2015,Sergio Romero,ar ARG,GK,27.0,10.0,9.0,880.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,serie_a,11,sampdoria,8ff9e3b3,,,,,,,,,,,,
2014-2015,Fabrizio Cacciatore,it ITA,DF,27.0,11.0,8.0,726.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,serie_a,11,sampdoria,8ff9e3b3,,,,,,,,,,,,
2014-2015,Gonzalo Bergessio,ar ARG,FW,30.0,23.0,7.0,752.0,8.4,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.12,0.12,0.24,0.12,0.24,Matches,serie_a,11,sampdoria,8ff9e3b3,,,,,,,,,,,,
2014-2015,Luca Rizzo,it ITA,MF,22.0,15.0,7.0,621.0,6.9,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches,serie_a,11,sampdoria,8ff9e3b3,,,,,,,,,,,,
2014-2015,Ezequiel Muñoz,ar ARG,DF,23.0,4.0,3.0,228.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,serie_a,11,sampdoria,8ff9e3b3,,,,,,,,,,,,
2014-2015,Nenad Krstičić,rs SRB,MF,24.0,12.0,2.0,281.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,serie_a,11,sampdoria,8ff9e3b3,,,,,,,,,,,,
2014-2015,Paweł Wszołek,pl POL,MF,22.0,6.0,2.0,230.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,serie_a,11,sampdoria,8ff9e3b3,,,,,,,,,,,,
2014-2015,Joaquín Correa,ar ARG,"FW,MF",19.0,6.0,2.0,191.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,serie_a,11,sampdoria,8ff9e3b3,,,,,,,,,,,,
2014-2015,Luka Đorđević,me MNE,FW,20.0,3.0,1.0,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,serie_a,11,sampdoria,8ff9e3b3,,,,,,,,,,,,
2014-2015,Gianluca Sansone,it ITA,FW,27.0,4.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,serie_a,11,sampdoria,8ff9e3b3,,,,,,,,,,,,
2014-2015,Marco Marchionni,it ITA,MF,34.0,1.0,1.0,76.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,serie_a,11,sampdoria,8ff9e3b3,,,,,,,,,,,,
2014-2015,Andrea Coda,it ITA,DF,29.0,2.0,0.0,61.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,serie_a,11,sampdoria,8ff9e3b3,,,,,,,,,,,,
2014-2015,Francesco Fedato,it ITA,FW,21.0,1.0,0.0,41.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,serie_a,11,sampdoria,8ff9e3b3,,,,,,,,,,,,
