Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK,xG_90,xAG_90,xG+xAG,npxG_90,npxG+xAG_90,Matches,season,league_name,league_id,team_name
Matheus Thuler,br BRA,DF,19.0,13,10,1040.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019,brasileirao,24,2019 Flamengo
Diego,br BRA,MF,33.0,16,10,887.0,9.9,1.0,1.0,2.0,1.0,0.0,1.0,5.0,0.0,2.7,1.9,1.6,3.5,31.0,79.0,42.0,0.1,0.1,0.2,0.1,0.2,0.28,0.16,0.44,0.19,0.35,Matches,2019,brasileirao,24,2019 Flamengo
Reinier,br BRA,"MF,FW",17.0,14,8,710.0,7.9,6.0,2.0,8.0,6.0,0.0,0.0,1.0,0.0,4.6,4.6,1.1,5.7,21.0,20.0,73.0,0.76,0.25,1.01,0.76,1.01,0.58,0.13,0.72,0.58,0.72,Matches,2019,brasileirao,24,2019 Flamengo
Gustavo Cuellar,co COL,MF,26.0,9,8,708.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.5,1.1,1.0,36.0,6.0,0.0,0.0,0.0,0.0,0.0,0.08,0.07,0.14,0.08,0.14,Matches,2019,brasileirao,24,2019 Flamengo
Rhodolfo,br BRA,DF,32.0,9,8,683.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,6.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,2019,brasileirao,24,2019 Flamengo
Léo Duarte,br BRA,DF,22.0,7,7,599.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.2,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,2019,brasileirao,24,2019 Flamengo
César,br BRA,GK,27.0,6,6,538.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019,brasileirao,24,2019 Flamengo
Pará,br BRA,DF,32.0,6,6,530.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1,0.1,11.0,28.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,2019,brasileirao,24,2019 Flamengo
Miguel Trauco,pe PER,DF,26.0,5,5,450.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.6,0.8,12.0,26.0,33.0,0.0,0.2,0.2,0.0,0.2,0.06,0.11,0.17,0.06,0.17,Matches,2019,brasileirao,24,2019 Flamengo
Orlando Berrío,co COL,"FW,MF",27.0,16,4,453.0,5.0,1.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0,2.1,2.1,1.6,3.7,17.0,10.0,56.0,0.2,0.4,0.6,0.2,0.6,0.42,0.31,0.74,0.42,0.74,Matches,2019,brasileirao,24,2019 Flamengo
