Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,season,league_name,league_id,team_name,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,SoTA,Saves,Save%,PSxG,PSxG+/-,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,CrsPA,PrgP,KP,pass_3rd,Sw,Crs,TB,CK,SCA,GCA,Tkl,TklW,Tkl_Def_3rd,Tkl_Att_3rd,Blocks,Int,Clr,Err,Touches_Att_3rd,PrgC,Carries_Att_3rd,Mis,Dis,Fls,Off,Recov,Won%
2023-09-21,21:30,Série A,Matchweek 24,Thu,Away,L,0,1,Grêmio,1.0,0.4,65,29057.0,Gustavo Gómez,4-2-3-1,4-1-3-2,Bruno Arleu,Match Report,,2023,brasileirao,24,2023 Palmeiras,18,4,22.2,0.0,0.0,16.7,2,1,50.0,0.3,-0.7,396.0,501.0,79.0,7092.0,2889.0,0,0.7,1.1,6.0,54.0,13.0,52.0,3.0,46,0.0,11.0,31.0,0.0,14.0,12,8.0,0.0,3.0,6,6.0,0.0,203.0,32.0,23.0,24.0,8.0,14,3,52.0,58.6
2023-09-28,21:30,Libertadores,Semi-finals,Thu,Away,D,0,0,ar Boca Juniors,0.4,1.6,44,53615.0,Gustavo Gómez,4-3-1-2,4-4-2,Wilmar Roldán,Match Report,Leg 1 of 2,2023,brasileirao,24,2023 Palmeiras,9,2,22.2,0.0,0.0,18.7,7,7,100.0,1.3,1.3,337.0,438.0,76.9,6528.0,1999.0,0,0.4,0.2,1.0,30.0,8.0,14.0,5.0,4,0.0,1.0,16.0,0.0,12.0,8,7.0,1.0,14.0,12,29.0,0.0,65.0,19.0,9.0,20.0,5.0,16,1,60.0,50.0
2023-10-01,18:30,Série A,Matchweek 25,Sun,Away,L,1,2,Red Bull Bragantino,1.5,2.9,34,9093.0,Luan Garcia,4-2-3-1,4-2-3-1,Wagner do Nascimento Magalhães,Match Report,,2023,brasileirao,24,2023 Palmeiras,10,3,30.0,0.1,0.33,16.4,8,6,87.5,3.8,1.8,190.0,298.0,63.8,3757.0,1817.0,1,1.4,0.5,1.0,14.0,9.0,16.0,2.0,8,1.0,4.0,18.0,2.0,13.0,8,8.0,0.0,12.0,9,21.0,1.0,77.0,16.0,5.0,14.0,12.0,20,3,41.0,33.3
2023-10-05,21:30,Libertadores,Semi-finals,Thu,Home,D,1 (2),1 (4),ar Boca Juniors,1.4,0.9,68,,Gustavo Gómez,3-4-3,4-4-2,Andrés Matonte,Match Report,Leg 2 of 2; Boca Juniors won; Boca Juniors won on penalty kicks following extra time,2023,brasileirao,24,2023 Palmeiras,24,8,33.3,0.04,0.13,21.1,3,2,66.7,1.2,0.2,427.0,508.0,84.1,8752.0,2585.0,1,0.9,1.1,7.0,58.0,16.0,45.0,6.0,32,0.0,6.0,44.0,2.0,13.0,9,6.0,1.0,4.0,6,14.0,0.0,179.0,22.0,17.0,18.0,6.0,14,1,41.0,54.2
2023-10-08,16:00,Série A,Matchweek 26,Sun,Home,L,1,2,Santos,2.1,1.4,69,17049.0,Gustavo Gómez,4-2-3-1,3-5-2,Flavio de Souza,Match Report,,2023,brasileirao,24,2023 Palmeiras,26,6,23.1,0.04,0.17,17.0,10,8,80.0,2.8,0.8,494.0,580.0,85.2,9843.0,3359.0,1,2.0,2.0,10.0,54.0,24.0,45.0,11.0,34,2.0,6.0,48.0,2.0,12.0,6,6.0,0.0,4.0,6,13.0,1.0,185.0,25.0,23.0,23.0,8.0,8,7,45.0,48.5
2023-10-19,19:00,Série A,Matchweek 27,Thu,Home,L,0,2,Atlético Mineiro,0.7,1.1,56,27718.0,Gustavo Gómez,4-2-3-1,4-4-2,Bruno Arleu,Match Report,,2023,brasileirao,24,2023 Palmeiras,12,4,33.3,0.0,0.0,21.2,3,1,33.3,1.0,-1.0,406.0,516.0,78.7,6767.0,2652.0,0,0.6,1.4,6.0,43.0,9.0,29.0,4.0,32,1.0,7.0,22.0,0.0,18.0,7,6.0,4.0,11.0,12,6.0,0.0,202.0,26.0,25.0,18.0,14.0,17,2,60.0,61.3
2023-10-22,18:30,Série A,Matchweek 28,Sun,Away,W,2,0,Coritiba,1.1,0.6,54,19387.0,Gustavo Gómez,3-4-1-2,4-1-4-1,Rafael Rodrigo Klein,Match Report,,2023,brasileirao,24,2023 Palmeiras,19,6,31.6,0.11,0.33,17.9,2,2,100.0,0.1,0.1,390.0,510.0,76.5,7242.0,2513.0,1,0.9,1.1,2.0,39.0,12.0,31.0,4.0,31,0.0,6.0,32.0,4.0,21.0,16,9.0,1.0,12.0,6,24.0,0.0,135.0,14.0,10.0,13.0,7.0,18,2,69.0,46.2
2023-10-25,20:00,Série A,Matchweek 29,Wed,Home,W,5,0,São Paulo,2.4,0.1,46,32618.0,Gustavo Gómez,4-3-1-2,4-2-3-1,Raphael Claus,Match Report,,2023,brasileirao,24,2023 Palmeiras,11,7,63.6,0.36,0.57,21.9,0,0,,0.0,0.0,317.0,390.0,81.3,6832.0,2422.0,4,1.5,1.1,3.0,48.0,9.0,36.0,2.0,16,4.0,5.0,22.0,10.0,18.0,5,4.0,6.0,10.0,7,8.0,0.0,104.0,15.0,5.0,16.0,5.0,15,3,45.0,64.3
2023-10-28,19:00,Série A,Matchweek 30,Sat,Home,W,1,0,Bahia,1.7,0.1,63,33747.0,Gustavo Gómez,4-3-1-2,3-4-3,Rodrigo José Pereira de Lima,Match Report,,2023,brasileirao,24,2023 Palmeiras,26,9,34.6,0.04,0.11,18.5,1,1,100.0,0.0,0.0,481.0,567.0,84.8,10416.0,3520.0,0,1.1,1.4,2.0,56.0,16.0,54.0,10.0,20,2.0,6.0,38.0,1.0,10.0,7,3.0,1.0,6.0,11,13.0,0.0,151.0,15.0,18.0,17.0,6.0,15,5,53.0,52.8
2023-11-01,21:30,Série A,Matchweek 31,Wed,Away,W,4,3,Botafogo (RJ),1.7,3.5,60,34913.0,Gustavo Gómez,3-4-1-2,4-2-3-1,Braulio da Silva Machado,Match Report,,2023,brasileirao,24,2023 Palmeiras,15,6,40.0,0.27,0.67,16.8,8,4,62.5,3.4,0.4,414.0,499.0,83.0,7585.0,2582.0,3,1.4,1.9,3.0,44.0,8.0,34.0,5.0,36,0.0,6.0,27.0,7.0,9.0,5,5.0,1.0,11.0,10,9.0,0.0,167.0,14.0,11.0,7.0,9.0,13,3,40.0,45.5
