season,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,league_name,league_id,team_name,team_id,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,xG,xGA,SoTA,Saves,Save%,PSxG,PSxG+/-,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,CrsPA,PrgP,KP,pass_3rd,Sw,Crs,TB,CK,SCA,GCA,Tkl,TklW,Tkl_Def_3rd,Tkl_Att_3rd,Blocks,Int,Clr,Err,Touches_Att_3rd,PrgC,Carries_Att_3rd,Mis,Dis,Fls,Off,Recov,Won%
2014-2015,2015-04-11,21:00,Coupe de la Ligue,Final stage,Sat,Away,W,4,0,Bastia,,71969.0,,,,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-04-15,20:45,Champions Lg,Quarter-finals,Wed,Home,L,1,3,es Barcelona,38.0,45893.0,,4-3-3,Mark Clattenburg,Match Report,Leg 1 of 2,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-04-18,17:00,Ligue 1,Matchweek 33,Sat,Away,W,3,1,Nice,57.0,25145.0,,4-3-3,Sébastien Desiage,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-04-21,20:45,Champions Lg,Quarter-finals,Tue,Away,L,0,2,es Barcelona,45.0,84477.0,,4-3-1-2,Svein Oddvar Moen,Match Report,Leg 2 of 2; Barcelona won,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-04-25,17:00,Ligue 1,Matchweek 34,Sat,Home,W,6,1,Lille,52.0,45001.0,,4-3-3,Clément Turpin,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-04-28,21:00,Ligue 1,Matchweek 32,Tue,Home,W,3,1,Metz,64.0,46337.0,,4-3-3,Mikael Lesage,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-05-03,21:00,Ligue 1,Matchweek 35,Sun,Away,W,2,0,Nantes,53.0,34088.0,,4-3-3,Ruddy Buquet,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-05-08,20:30,Ligue 1,Matchweek 36,Fri,Home,W,6,0,Guingamp,66.0,46683.0,,4-3-3,Sébastien Moreira,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-05-16,21:00,Ligue 1,Matchweek 37,Sat,Away,W,2,1,Montpellier,52.0,27930.0,,4-3-3,Frédy Fautrel,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-05-23,21:00,Ligue 1,Matchweek 38,Sat,Home,W,3,2,Reims,65.0,46297.0,,4-3-3,Clément Turpin,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
