season,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK,Matches,league_name,league_id,team_name,team_id,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,xG_90,xAG_90,xG+xAG,npxG_90,npxG+xAG_90
2014-2015,Moustapha Bayal Sall,sn SEN,DF,28.0,23.0,23.0,2050.0,22.8,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,ligue_1,13,saint_etienne,d298ef2c,,,,,,,,,,,,
2014-2015,Romain Hamouma,fr FRA,"FW,MF",27.0,26.0,23.0,1963.0,21.8,3.0,8.0,11.0,3.0,0.0,0.0,5.0,0.0,0.14,0.37,0.5,0.14,0.5,Matches,ligue_1,13,saint_etienne,d298ef2c,,,,,,,,,,,,
2014-2015,Mevlüt Erdinç,tr TUR,FW,27.0,26.0,20.0,1599.0,17.8,8.0,1.0,9.0,7.0,1.0,2.0,1.0,0.0,0.45,0.06,0.51,0.39,0.45,Matches,ligue_1,13,saint_etienne,d298ef2c,,,,,,,,,,,,
2014-2015,Kévin Monnet-Paquet,fr FRA,"FW,MF",25.0,30.0,18.0,1728.0,19.2,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.1,0.05,0.16,0.1,0.16,Matches,ligue_1,13,saint_etienne,d298ef2c,,,,,,,,,,,,
2014-2015,Ricky van Wolfswinkel,nl NED,"FW,MF",25.0,28.0,18.0,1599.0,17.8,5.0,4.0,9.0,5.0,0.0,0.0,2.0,0.0,0.28,0.23,0.51,0.28,0.51,Matches,ligue_1,13,saint_etienne,d298ef2c,,,,,,,,,,,,
2014-2015,François Clerc,fr FRA,DF,31.0,15.0,15.0,1318.0,14.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,ligue_1,13,saint_etienne,d298ef2c,,,,,,,,,,,,
2014-2015,Benjamin Corgnet,fr FRA,MF,27.0,24.0,15.0,1185.0,13.2,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.23,0.23,0.0,0.23,Matches,ligue_1,13,saint_etienne,d298ef2c,,,,,,,,,,,,
2014-2015,Yohan Mollo,fr FRA,"DF,FW",25.0,23.0,12.0,1149.0,12.8,4.0,1.0,5.0,4.0,0.0,0.0,4.0,0.0,0.31,0.08,0.39,0.31,0.39,Matches,ligue_1,13,saint_etienne,d298ef2c,,,,,,,,,,,,
2014-2015,Florentin Pogba,gn GUI,DF,23.0,16.0,12.0,1136.0,12.6,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.08,0.08,0.16,0.08,0.16,Matches,ligue_1,13,saint_etienne,d298ef2c,,,,,,,,,,,,
2014-2015,Ismaël Diomandé,ci CIV,MF,21.0,20.0,12.0,1090.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,saint_etienne,d298ef2c,,,,,,,,,,,,
2014-2015,Renaud Cohade,fr FRA,MF,29.0,17.0,11.0,1044.0,11.6,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,ligue_1,13,saint_etienne,d298ef2c,,,,,,,,,,,,
2014-2015,Landry N'Guémo,cm CMR,"DF,MF",28.0,14.0,11.0,863.0,9.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches,ligue_1,13,saint_etienne,d298ef2c,,,,,,,,,,,,
2014-2015,Jonathan Brison,fr FRA,"DF,MF",31.0,18.0,9.0,962.0,10.7,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,ligue_1,13,saint_etienne,d298ef2c,,,,,,,,,,,,
2014-2015,Paul Baysse,fr FRA,DF,26.0,9.0,8.0,626.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches,ligue_1,13,saint_etienne,d298ef2c,,,,,,,,,,,,
2014-2015,Allan Saint-Maximin,fr FRA,"FW,MF",17.0,9.0,3.0,429.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,saint_etienne,d298ef2c,,,,,,,,,,,,
2014-2015,Benjamin Karamoko,ml MLI,DF,19.0,2.0,1.0,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,saint_etienne,d298ef2c,,,,,,,,,,,,
2014-2015,Jonathan Bamba,ci CIV,"FW,MF",18.0,3.0,0.0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,saint_etienne,d298ef2c,,,,,,,,,,,,
2014-2015,Maxence Chapuis,fr FRA,DF,20.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,ligue_1,13,saint_etienne,d298ef2c,,,,,,,,,,,,
